DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
Great Falls,3931,0.02,104,0.01,44
Yuma-El Centro,3876,0.02,36,0.02,30
Gr.Jnctn-Mntros,3811,0.02,80,0.02,52
Twin Falls,3678,0.02,79,0.02,48
Fairbanks,3658,0.02,109,0.02,67
Chey-Sctts,3619,0.02,84,0.02,61
Casper-Riverton,3499,0.02,90,0.02,78
Juneau,3398,0.02,154,0.02,100
Ottumwa-Kirksvl,3168,0.02,56,0.02,56
Helena,2944,0.02,161,0.02,101
Laredo,2359,0.01,33,-,25
St. Joseph,2213,0.01,48,-,38
San Angelo,2161,0.01,46,-,39
Meridian,2128,0.01,43,-,32
Greenwd-Greenvl,1927,0.01,44,-,22
Zanesville,1881,0.01,37,0.01,52
Presque Isle,1595,0.01,47,-,24
Victoria,1189,-,40,-,20
North Platte,884,-,81,-,44
Alpena,864,-,107,-,37
Glendive,143,-,60,-,9
