DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
Fargo-Vally Cty,3500,0.11,78,0.08,45
Palm Springs,3328,0.1,81,0.1,84
Columbia-Jf Cty,3268,0.1,86,0.08,65
Anchorage,3251,0.1,95,0.08,61
Lubbock,3188,0.1,96,0.08,75
Amarillo,3138,0.1,71,0.07,63
Rockford,3025,0.09,74,0.07,59
Wausau-Rhineldr,3023,0.09,100,0.07,63
Columbus GA,3004,0.09,87,0.07,59
Odessa-Midland,2979,0.09,92,0.07,73
Montgomery(Sel),2919,0.09,75,0.07,59
Rch-Masn Cy-Aus,2850,0.09,114,0.07,64
Yakm-Psc-Rch-Kn,2844,0.09,85,0.07,54
Binghamton,2731,0.09,64,0.07,55
Charlottesville,2718,0.08,81,0.07,62
Beaumnt-Prt Art,2637,0.08,66,0.06,60
Monro-El Dorado,2633,0.08,82,0.06,70
Minot-Bsmrk-Dkn,2434,0.08,61,0.05,42
Wichta Fls&Lwtn,2413,0.08,86,0.05,67
Erie,2242,0.07,47,0.05,40
Duluth-Superior,2238,0.07,90,0.05,58
Columbus-Tup-Wp,2221,0.07,89,0.06,77
Panama City,2221,0.07,70,0.06,54
Joplin-Pittsbrg,2213,0.07,99,0.05,71
Medford-Klm Fls,2198,0.07,88,0.05,54
Albany GA,2192,0.07,46,0.05,45
Sioux City,2190,0.07,84,0.05,50
Sherman-Ada,2171,0.07,97,0.05,75
Biloxi-Gulfport,2125,0.07,70,0.05,54
Missoula,2100,0.07,106,0.05,59
Abilene-Swtwatr,1945,0.06,77,0.05,61
Salisbury,1807,0.06,56,0.04,35
Bangor,1763,0.06,61,0.04,38
Utica,1726,0.05,65,0.04,49
Blfld-Beckly-OH,1642,0.05,55,0.04,50
Clarksburg-Wstn,1630,0.05,52,0.04,46
Idaho Falls-Poc,1603,0.05,83,0.04,50
Billings,1596,0.05,93,0.04,57
Jonesboro,1573,0.05,73,0.04,64
Terre Haute,1569,0.05,76,0.04,57
Elmira,1554,0.05,57,0.04,56
Harrisonburg,1486,0.05,84,0.03,50
Lafayette IN,1479,0.05,88,0.03,51
Rapid City,1475,0.05,90,0.04,60
Alexandria LA,1475,0.05,65,0.04,58
Hatiesbrg-Laurl,1444,0.05,83,0.04,68
Wheeling-Steub.,1381,0.04,58,0.03,44
Jackson TN,1354,0.04,90,0.03,62
Lake Charles,1331,0.04,79,0.03,58
Yuma-El Centro,1312,0.04,61,0.03,58
Marquette,1277,0.04,101,0.03,52
Dothan,1252,0.04,50,0.03,40
Bend OR,1199,0.04,183,0.03,84
Butte-Bozeman,1197,0.04,120,0.03,60
Bowling Green,1162,0.04,62,0.03,51
Quincy-Hbl-Keok,1130,0.04,76,0.03,52
Lima,1109,0.03,59,0.02,42
Watertown,1101,0.03,48,0.03,34
Parkersburg,982,0.03,60,0.02,49
Great Falls,907,0.03,116,0.02,61
Chey-Sctts,873,0.03,98,0.02,58
Casper-Riverton,834,0.03,105,0.02,59
Eureka,825,0.03,99,0.02,66
Gr.Jnctn-Mntros,819,0.03,83,0.02,50
Twin Falls,806,0.03,83,0.02,54
Mankato,792,0.02,92,0.02,48
Laredo,786,0.02,54,0.02,52
Meridian,735,0.02,73,0.02,61
Greenwd-Greenvl,687,0.02,76,0.02,75
Fairbanks,591,0.02,85,0.01,50
Victoria,591,0.02,99,0.01,89
Ottumwa-Kirksvl,585,0.02,50,0.01,39
San Angelo,570,0.02,59,0.01,49
St. Joseph,531,0.02,56,0.01,47
Zanesville,487,0.02,47,0.01,40
Juneau,462,0.01,99,0.01,66
Helena,430,0.01,111,-,47
Presque Isle,270,-,37,-,31
Alpena,230,-,134,-,58
North Platte,165,-,69,-,47
Glendive,33,-,55,-,30
