DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
Harrisonburg,4535,0.09,170,0.08,117
Medford-Klm Fls,4446,0.09,117,0.08,84
El Paso,4432,0.09,46,0.07,44
Erie,4354,0.09,61,0.08,63
Jackson MS,4333,0.09,43,0.07,37
Columbus GA,4297,0.09,81,0.07,57
Lafayette LA,4237,0.09,60,0.08,57
Lubbock,4127,0.08,80,0.08,75
Idaho Falls-Poc,3935,0.08,135,0.05,66
Marquette,3832,0.08,200,0.08,144
Shreveport,3808,0.08,35,0.07,36
Tyler-Longview,3744,0.08,44,0.06,43
Butte-Bozeman,3389,0.07,224,0.06,137
Macon,3350,0.07,33,0.06,38
Minot-Bsmrk-Dkn,3350,0.07,55,0.06,44
Bakersfield,3293,0.07,54,0.05,38
Hrlg-Wsl-Brn-Ma,3268,0.07,33,0.05,29
Utica,3243,0.07,79,0.06,70
Palm Springs,3190,0.07,50,0.06,49
Flrnce-Mrtl Bch,3112,0.06,30,0.06,33
Watertown,2977,0.06,86,0.06,78
Montgomery(Sel),2906,0.06,48,0.05,37
Sioux City,2658,0.05,66,0.04,38
Rapid City,2633,0.05,105,0.05,85
Mankato,2626,0.05,204,0.05,145
Billings,2622,0.05,101,0.04,65
Amarillo,2583,0.05,38,0.03,25
Salisbury,2566,0.05,51,0.04,31
Terre Haute,2427,0.05,77,0.05,71
Corpus Christi,2307,0.05,36,0.03,26
Eureka,2236,0.05,178,0.03,116
Joplin-Pittsbrg,2097,0.04,60,0.02,33
Columbus-Tup-Wp,2094,0.04,54,0.04,55
Abilene-Swtwatr,2076,0.04,53,0.04,48
Panama City,1977,0.04,40,0.04,34
Wheeling-Steub.,1977,0.04,54,0.03,49
Odessa-Midland,1937,0.04,38,0.04,42
Beaumnt-Prt Art,1913,0.04,31,0.03,27
Ottumwa-Kirksvl,1870,0.04,106,0.03,99
Wichta Fls&Lwtn,1856,0.04,42,0.03,31
Bend OR,1824,0.04,181,0.02,77
Monro-El Dorado,1820,0.04,36,0.02,27
Biloxi-Gulfport,1806,0.04,38,0.02,27
Bowling Green,1781,0.04,62,0.04,74
Elmira,1753,0.04,42,0.03,33
Sherman-Ada,1586,0.03,45,0.02,33
Gr.Jnctn-Mntros,1522,0.03,101,0.02,61
Hatiesbrg-Laurl,1519,0.03,56,0.02,42
Quincy-Hbl-Keok,1512,0.03,65,0.03,57
Clarksburg-Wstn,1497,0.03,30,0.03,40
Blfld-Beckly-OH,1483,0.03,31,0.02,30
Twin Falls,1405,0.03,95,0.02,69
Fairbanks,1387,0.03,132,0.02,90
Casper-Riverton,1338,0.03,109,0.02,71
Albany GA,1256,0.03,16,0.02,21
Jonesboro,1182,0.02,35,0.02,34
Lima,1182,0.02,40,0.01,24
Jackson TN,1167,0.02,49,0.02,40
Great Falls,1132,0.02,94,0.02,67
Chey-Sctts,1079,0.02,78,0.01,33
Yuma-El Centro,1065,0.02,31,0.02,41
Parkersburg,1061,0.02,42,0.02,44
