DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
Utica,7683,0.06,80,0.05,66
Terre Haute,7569,0.06,101,0.06,92
Marquette,7445,0.06,163,0.05,87
Idaho Falls-Poc,6968,0.06,99,0.06,83
Wheeling-Steub.,6826,0.06,79,0.05,75
Jonesboro,6747,0.06,87,0.05,88
Rapid City,6710,0.06,114,0.11,184
Harrisonburg,6629,0.06,103,0.06,95
Hatiesbrg-Laurl,6425,0.05,102,0.05,91
Lafayette IN,6311,0.05,104,0.05,78
Jackson TN,6310,0.05,116,0.04,85
Alexandria LA,6235,0.05,75,0.05,76
Quincy-Hbl-Keok,6164,0.05,116,0.04,82
Dothan,5879,0.05,66,0.04,61
Lake Charles,5753,0.05,94,0.04,78
Lima,5746,0.05,84,0.04,70
Watertown,5591,0.05,68,0.04,57
Butte-Bozeman,5282,0.04,147,0.04,99
Bowling Green,4993,0.04,75,0.03,60
Yuma-El Centro,4965,0.04,63,0.04,77
Bend OR,4912,0.04,208,0.04,129
Parkersburg,4907,0.04,84,0.03,72
Gr.Jnctn-Mntros,4898,0.04,141,0.04,103
Casper-Riverton,4774,0.04,169,0.04,118
Chey-Sctts,4454,0.04,140,0.03,91
Great Falls,4281,0.04,154,0.03,110
Mankato,3868,0.03,126,0.03,80
Eureka,3562,0.03,120,0.03,95
Ottumwa-Kirksvl,3362,0.03,81,0.03,77
Twin Falls,3293,0.03,95,0.02,69
Meridian,3110,0.03,87,0.02,74
Fairbanks,3039,0.03,124,0.02,91
San Angelo,3010,0.03,88,0.03,120
St. Joseph,2633,0.02,79,0.02,70
Juneau,2597,0.02,160,0.03,146
Zanesville,2490,0.02,69,0.02,63
Greenwd-Greenvl,2458,0.02,77,0.02,69
Laredo,2452,0.02,47,0.02,57
Helena,2286,0.02,169,0.02,105
Victoria,2184,0.02,103,0.02,116
Presque Isle,1401,0.01,57,-,52
North Platte,1125,-,143,-,84
Alpena,969,-,167,-,91
Glendive,252,-,163,-,99
