DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
Lubbock,11357,0.09,88,0.06,58
Rch-Masn Cy-Aus,11106,0.09,114,0.07,66
Binghamton,11100,0.09,67,0.08,64
Evansville,11084,0.09,51,0.06,35
Macon,10778,0.09,42,0.05,33
Hrlg-Wsl-Brn-Ma,10508,0.08,43,0.05,30
Lafayette LA,10419,0.08,58,0.06,42
Bangor,10393,0.08,95,0.07,71
Rockford,10180,0.08,64,0.05,37
Lafayette IN,10177,0.08,159,0.07,115
Tyler-Longview,10161,0.08,48,0.05,32
Flrnce-Mrtl Bch,10008,0.08,38,0.04,22
Bakersfield,9992,0.08,65,0.07,61
Duluth-Superior,9935,0.08,103,0.07,75
Montgomery(Sel),9795,0.08,64,0.05,41
Harrisonburg,9744,0.08,144,0.07,107
Wausau-Rhineldr,9572,0.08,81,0.05,42
Erie,9435,0.07,51,0.06,44
Palm Springs,9206,0.07,57,0.04,34
Minot-Bsmrk-Dkn,8738,0.07,56,0.05,40
Amarillo,7987,0.06,46,0.04,37
Salisbury,7828,0.06,62,0.04,32
Corpus Christi,7306,0.06,46,0.04,33
Sioux City,7217,0.06,71,0.03,29
Butte-Bozeman,7157,0.06,187,0.06,135
Utica,7093,0.06,69,0.05,60
Billings,6858,0.05,104,0.04,66
Idaho Falls-Poc,6785,0.05,92,0.03,49
Panama City,6320,0.05,51,0.03,29
Rapid City,6129,0.05,97,0.04,57
Watertown,6021,0.05,68,0.03,45
Columbus-Tup-Wp,5983,0.05,62,0.03,43
Marquette,5948,0.05,122,0.03,44
Odessa-Midland,5862,0.05,46,0.03,37
Eureka,5553,0.04,177,0.04,146
Monro-El Dorado,5496,0.04,43,0.03,29
Beaumnt-Prt Art,5477,0.04,35,0.03,31
Joplin-Pittsbrg,5464,0.04,62,0.02,34
Wichta Fls&Lwtn,5413,0.04,49,0.04,57
Biloxi-Gulfport,5251,0.04,44,0.03,30
Bend OR,5235,0.04,209,0.03,89
Terre Haute,5044,0.04,63,0.02,39
Elmira,4891,0.04,47,0.02,30
Abilene-Swtwatr,4605,0.04,47,0.01,19
Wheeling-Steub.,4503,0.04,49,0.03,37
Albany GA,4401,0.03,23,0.02,16
Quincy-Hbl-Keok,4350,0.03,76,0.02,48
Hatiesbrg-Laurl,4350,0.03,65,0.03,51
Bowling Green,4299,0.03,60,0.03,51
Clarksburg-Wstn,4296,0.03,35,0.02,25
Sherman-Ada,4248,0.03,49,0.02,27
Blfld-Beckly-OH,4181,0.03,35,0.02,22
Mankato,4150,0.03,127,0.03,78
Fairbanks,4057,0.03,155,0.03,108
Jonesboro,3752,0.03,45,0.02,36
Dothan,3472,0.03,36,0.02,23
Twin Falls,3389,0.03,92,0.02,62
Gr.Jnctn-Mntros,3386,0.03,90,0.02,70
Alexandria LA,3354,0.03,38,0.01,16
Yuma-El Centro,3211,0.03,38,0.01,23
Jackson TN,3201,0.03,55,0.02,35
Ottumwa-Kirksvl,3045,0.02,68,0.01,34
Juneau,2959,0.02,171,0.03,192
Casper-Riverton,2893,0.02,95,0.02,61
Great Falls,2851,0.02,95,0.02,49
Lima,2826,0.02,38,0.01,19
Chey-Sctts,2807,0.02,82,0.02,49
Lake Charles,2772,0.02,42,0.01,25
Parkersburg,2581,0.02,41,0.01,25
Helena,2374,0.02,164,0.02,89
St. Joseph,1833,0.01,50,-,38
Laredo,1808,0.01,33,-,25
Meridian,1607,0.01,41,-,30
San Angelo,1591,0.01,43,-,35
Zanesville,1467,0.01,37,-,24
Greenwd-Greenvl,1165,-,33,-,14
Victoria,1101,-,47,-,28
Presque Isle,967,-,35,-,25
North Platte,500,-,56,-,23
Alpena,477,-,73,-,17
Glendive,92,-,46,-,13
