DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
Elmira,2036,0.05,59,0.03,40
Wheeling-Steub.,2014,0.05,67,0.04,58
Jonesboro,1990,0.05,74,0.03,58
Albany GA,1882,0.05,31,0.03,25
Bowling Green,1848,0.05,80,0.04,68
Eureka,1755,0.04,171,0.03,104
Mankato,1688,0.04,159,0.03,88
Quincy-Hbl-Keok,1656,0.04,88,0.04,84
Bend OR,1632,0.04,199,0.04,135
Dothan,1616,0.04,52,0.02,31
Parkersburg,1611,0.04,80,0.03,58
Alexandria LA,1568,0.04,54,0.03,44
Jackson TN,1536,0.04,80,0.03,61
Lima,1524,0.04,64,0.02,39
Fairbanks,1486,0.04,175,0.03,113
Lake Charles,1411,0.03,65,0.03,49
Gr.Jnctn-Mntros,1411,0.03,116,0.02,58
Twin Falls,1344,0.03,112,0.02,64
Great Falls,1342,0.03,138,0.02,60
Laredo,1231,0.03,68,0.02,53
Chey-Sctts,1231,0.03,110,0.02,55
Casper-Riverton,1203,0.03,120,0.02,67
Ottumwa-Kirksvl,1164,0.03,80,0.02,52
St. Joseph,970,0.02,82,0.02,87
San Angelo,879,0.02,73,0.02,76
Helena,706,0.02,146,0.02,84
Zanesville,696,0.02,53,0.01,37
Juneau,677,0.02,116,0.01,76
Meridian,636,0.02,49,0.01,35
Presque Isle,504,0.01,57,-,45
Victoria,478,0.01,62,0.01,64
Greenwd-Greenvl,439,0.01,38,0.01,42
Alpena,254,-,117,-,39
North Platte,214,-,71,-,27
Glendive,29,-,34,-,7
