DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
Flrnce-Mrtl Bch,13966,0.09,42,0.05,26
Shreveport,13655,0.08,39,0.04,24
Rockford,13627,0.08,66,0.06,48
Columbus GA,13624,0.08,79,0.06,46
Medford-Klm Fls,13319,0.08,108,0.05,56
Missoula,13285,0.08,135,0.07,89
Rch-Masn Cy-Aus,13159,0.08,104,0.05,55
Tyler-Longview,13121,0.08,48,0.05,33
Bakersfield,13071,0.08,66,0.06,47
Lubbock,12942,0.08,77,0.06,58
Lafayette LA,12804,0.08,56,0.05,38
Macon,12776,0.08,39,0.04,28
Bangor,12490,0.08,89,0.05,52
Duluth-Superior,11960,0.07,96,0.05,54
Erie,11627,0.07,50,0.05,38
Montgomery(Sel),11567,0.07,59,0.04,36
Wausau-Rhineldr,11530,0.07,77,0.04,37
Lafayette IN,11454,0.07,139,0.06,89
Salisbury,10581,0.06,65,0.06,47
Harrisonburg,10198,0.06,117,0.05,71
Minot-Bsmrk-Dkn,10060,0.06,50,0.04,32
Amarillo,9909,0.06,45,0.04,35
Utica,9599,0.06,73,0.04,48
Corpus Christi,9504,0.06,47,0.03,30
Sioux City,8745,0.05,67,0.03,27
Panama City,8179,0.05,51,0.03,32
Butte-Bozeman,8148,0.05,165,0.03,80
Idaho Falls-Poc,8126,0.05,85,0.03,42
Odessa-Midland,7796,0.05,47,0.03,37
Billings,7762,0.05,92,0.03,48
Marquette,7463,0.05,119,0.03,44
Beaumnt-Prt Art,7451,0.05,37,0.03,30
Watertown,7448,0.05,66,0.03,43
Monro-El Dorado,7175,0.04,44,0.03,37
Rapid City,7087,0.04,88,0.03,56
Joplin-Pittsbrg,7071,0.04,63,0.02,31
Columbus-Tup-Wp,6609,0.04,53,0.03,37
Wichta Fls&Lwtn,6569,0.04,46,0.03,35
Terre Haute,6383,0.04,63,0.02,37
Biloxi-Gulfport,6371,0.04,41,0.03,30
Bend OR,6267,0.04,195,0.03,98
Elmira,6116,0.04,45,0.02,29
Eureka,5922,0.04,146,0.03,97
Abilene-Swtwatr,5840,0.04,46,0.02,30
Wheeling-Steub.,5671,0.03,48,0.03,45
Albany GA,5592,0.03,23,0.01,14
Clarksburg-Wstn,5561,0.03,36,0.02,27
Blfld-Beckly-OH,5507,0.03,37,0.02,23
Hatiesbrg-Laurl,5341,0.03,61,0.02,42
Sherman-Ada,5294,0.03,47,0.02,25
Quincy-Hbl-Keok,5174,0.03,70,0.02,36
Mankato,4914,0.03,117,0.02,59
Bowling Green,4766,0.03,52,0.02,29
Yuma-El Centro,4634,0.03,43,0.02,28
Dothan,4616,0.03,37,0.02,26
Jonesboro,4597,0.03,43,0.02,40
Fairbanks,4484,0.03,134,0.02,72
Alexandria LA,4163,0.03,36,0.01,16
Gr.Jnctn-Mntros,4151,0.03,86,0.02,64
Jackson TN,4116,0.03,54,0.01,30
Juneau,3652,0.02,164,0.02,120
Lima,3529,0.02,37,0.01,17
Ottumwa-Kirksvl,3523,0.02,62,0.01,38
Lake Charles,3485,0.02,41,0.01,30
Twin Falls,3435,0.02,72,0.01,30
Casper-Riverton,3422,0.02,87,0.02,53
Chey-Sctts,3369,0.02,77,0.01,43
Great Falls,3300,0.02,85,0.01,35
Parkersburg,3187,0.02,39,0.01,32
Helena,2669,0.02,143,0.02,101
San Angelo,2521,0.02,54,-,34
Laredo,2506,0.02,35,-,23
St. Joseph,2349,0.01,50,0.01,41
Meridian,1862,0.01,36,0.01,40
Zanesville,1790,0.01,35,-,29
Greenwd-Greenvl,1498,-,33,-,18
Victoria,1259,-,42,-,35
Presque Isle,1165,-,34,-,17
North Platte,766,-,69,-,30
Alpena,700,-,85,-,22
Glendive,104,-,41,-,7
