DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
Bangor,4319,0.05,58,0.04,43
Bend OR,4182,0.05,248,0.05,159
Monro-El Dorado,4145,0.05,49,0.05,55
Beaumnt-Prt Art,4145,0.05,39,0.04,39
Utica,4097,0.05,59,0.04,48
Wichta Fls&Lwtn,3977,0.05,53,0.04,54
Hatiesbrg-Laurl,3916,0.05,87,0.03,66
Biloxi-Gulfport,3833,0.04,48,0.03,40
Clarksburg-Wstn,3732,0.04,46,0.03,35
Blfld-Beckly-OH,3728,0.04,47,0.03,43
Abilene-Swtwatr,3709,0.04,56,0.03,36
Rapid City,3683,0.04,87,0.04,65
Elmira,3664,0.04,52,0.05,64
Albany GA,3633,0.04,29,0.04,41
Butte-Bozeman,3554,0.04,137,0.04,83
Columbus-Tup-Wp,3515,0.04,54,0.03,40
Marquette,3511,0.04,107,0.03,51
Joplin-Pittsbrg,3453,0.04,58,0.03,44
Sherman-Ada,3403,0.04,58,0.04,65
Dothan,2970,0.03,46,0.02,33
Quincy-Hbl-Keok,2933,0.03,76,0.02,41
Terre Haute,2926,0.03,54,0.02,39
Jonesboro,2740,0.03,49,0.03,50
Gr.Jnctn-Mntros,2735,0.03,109,0.02,68
Casper-Riverton,2611,0.03,128,0.03,93
Jackson TN,2550,0.03,64,0.03,71
Bowling Green,2539,0.03,53,0.03,49
Watertown,2519,0.03,42,0.02,28
Yuma-El Centro,2434,0.03,43,0.02,36
Great Falls,2408,0.03,120,0.03,80
Lima,2374,0.03,48,0.02,44
Lake Charles,2346,0.03,53,0.02,45
Twin Falls,2310,0.03,94,0.02,60
Alexandria LA,2229,0.03,37,0.02,40
Mankato,2106,0.02,96,0.03,94
Chey-Sctts,1980,0.02,86,0.02,73
Parkersburg,1691,0.02,40,0.01,32
Fairbanks,1689,0.02,95,0.01,42
Meridian,1546,0.02,59,0.01,50
Eureka,1508,0.02,70,0.01,48
Ottumwa-Kirksvl,1478,0.02,49,-,28
Laredo,1352,0.02,36,0.01,40
Juneau,1343,0.02,115,0.01,68
Helena,1329,0.02,136,0.01,66
San Angelo,1218,0.01,49,0.02,63
Victoria,922,0.01,60,0.01,66
St. Joseph,901,0.01,37,-,38
Greenwd-Greenvl,870,0.01,37,-,31
Zanesville,767,-,29,-,28
Presque Isle,665,-,37,0.01,56
North Platte,414,-,72,-,70
Alpena,410,-,96,-,76
Glendive,122,-,106,-,120
