DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
Columbus-Tup-Wp,2696,0.04,47,0.02,27
Bend OR,2616,0.04,176,0.02,73
Billings,2580,0.03,66,0.02,34
Idaho Falls-Poc,2518,0.03,57,0.02,34
Hatiesbrg-Laurl,2307,0.03,57,0.02,34
Elmira,2307,0.03,37,0.02,25
Alexandria LA,2274,0.03,43,0.02,32
Marquette,2251,0.03,77,0.02,28
Butte-Bozeman,2245,0.03,99,0.02,39
Blfld-Beckly-OH,2230,0.03,32,0.02,21
Clarksburg-Wstn,2218,0.03,30,0.02,20
Wheeling-Steub.,2215,0.03,40,0.02,25
Terre Haute,2150,0.03,45,0.02,24
Rapid City,1995,0.03,52,0.02,29
Watertown,1974,0.03,37,0.02,24
Yuma-El Centro,1945,0.03,39,0.01,26
Jonesboro,1945,0.03,39,0.02,30
Lake Charles,1841,0.02,47,0.01,27
Dothan,1701,0.02,30,0.01,17
Bowling Green,1675,0.02,39,0.01,24
Jackson TN,1627,0.02,46,0.01,24
Eureka,1624,0.02,86,0.01,42
Parkersburg,1621,0.02,44,0.01,23
Gr.Jnctn-Mntros,1618,0.02,73,0.01,34
Quincy-Hbl-Keok,1547,0.02,45,0.01,24
Lima,1437,0.02,32,0.01,17
Great Falls,1318,0.02,74,0.01,32
Chey-Sctts,1253,0.02,61,0.01,32
Casper-Riverton,1244,0.02,68,-,28
Mankato,1170,0.02,59,-,24
Twin Falls,1107,0.02,50,-,24
Fairbanks,1081,0.01,69,0.01,39
Laredo,1054,0.01,32,-,24
San Angelo,971,0.01,44,-,29
Juneau,971,0.01,93,0.01,57
Meridian,941,0.01,40,-,28
St. Joseph,873,0.01,40,-,26
Greenwd-Greenvl,873,0.01,42,-,28
Ottumwa-Kirksvl,808,0.01,30,-,16
Zanesville,808,0.01,34,-,21
Victoria,745,0.01,54,-,41
Helena,721,0.01,81,-,25
Presque Isle,600,-,37,-,26
Alpena,309,-,78,-,26
North Platte,294,-,54,-,21
Glendive,39,-,26,-,7
