DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
Wausau-Rhineldr,5717,0.09,98,0.07,61
Binghamton,5717,0.09,69,0.07,58
Missoula,5679,0.09,150,0.1,125
Duluth-Superior,5622,0.09,118,0.08,93
Hrlg-Wsl-Brn-Ma,5573,0.09,45,0.07,40
Rch-Masn Cy-Aus,5562,0.09,115,0.09,87
Medford-Klm Fls,5478,0.09,115,0.06,59
Erie,5263,0.08,58,0.06,50
Shreveport,5021,0.08,38,0.06,30
Columbus GA,4934,0.08,74,0.06,46
Flrnce-Mrtl Bch,4902,0.08,37,0.06,32
Harrisonburg,4891,0.08,145,0.06,94
Lubbock,4837,0.08,75,0.09,91
Lafayette LA,4796,0.08,54,0.06,46
Macon,4739,0.08,37,0.05,32
Tyler-Longview,4682,0.08,43,0.04,27
Bakersfield,4521,0.07,59,0.06,48
Palm Springs,4500,0.07,57,0.04,37
Montgomery(Sel),4043,0.06,53,0.04,33
Butte-Bozeman,3978,0.06,210,0.04,100
Minot-Bsmrk-Dkn,3744,0.06,49,0.03,26
Utica,3722,0.06,73,0.04,49
Amarillo,3625,0.06,42,0.03,28
Marquette,3595,0.06,149,0.05,84
Salisbury,3576,0.06,57,0.04,36
Corpus Christi,3519,0.06,45,0.03,25
Sioux City,3407,0.05,68,0.04,43
Billings,3372,0.05,103,0.07,120
Idaho Falls-Poc,3358,0.05,91,0.03,42
Watertown,3231,0.05,74,0.04,59
Monro-El Dorado,2818,0.05,45,0.03,30
Rapid City,2815,0.05,89,0.03,51
Terre Haute,2810,0.05,70,0.03,47
Beaumnt-Prt Art,2769,0.04,35,0.03,27
Odessa-Midland,2682,0.04,42,0.03,33
Panama City,2682,0.04,44,0.02,22
Columbus-Tup-Wp,2619,0.04,54,0.03,44
Joplin-Pittsbrg,2508,0.04,57,0.03,45
Biloxi-Gulfport,2451,0.04,42,0.02,24
Eureka,2437,0.04,155,0.02,86
Wichta Fls&Lwtn,2424,0.04,44,0.02,31
Abilene-Swtwatr,2416,0.04,49,0.03,38
Elmira,2353,0.04,44,0.03,47
Mankato,2318,0.04,142,0.03,82
Bowling Green,2299,0.04,65,0.03,53
Bend OR,2261,0.04,180,0.03,80
Clarksburg-Wstn,2171,0.03,35,0.03,44
Blfld-Beckly-OH,2106,0.03,36,0.02,21
Wheeling-Steub.,2103,0.03,45,0.02,36
Albany GA,2043,0.03,22,0.02,17
Hatiesbrg-Laurl,1997,0.03,59,0.02,31
Sherman-Ada,1948,0.03,44,0.02,26
Yuma-El Centro,1935,0.03,46,0.02,31
Fairbanks,1845,0.03,141,0.03,97
Dothan,1742,0.03,36,0.02,34
Quincy-Hbl-Keok,1698,0.03,59,0.02,52
Gr.Jnctn-Mntros,1695,0.03,91,0.03,80
Jonesboro,1660,0.03,39,0.02,38
Jackson TN,1617,0.03,55,0.02,34
Ottumwa-Kirksvl,1546,0.02,69,0.02,54
Twin Falls,1470,0.02,80,0.02,46
Lima,1410,0.02,38,0.02,29
Great Falls,1372,0.02,91,0.01,46
Alexandria LA,1348,0.02,30,0.01,18
Lake Charles,1318,0.02,40,0.04,71
Casper-Riverton,1288,0.02,83,0.02,73
Juneau,1225,0.02,140,0.02,92
Parkersburg,1187,0.02,38,0.02,46
Chey-Sctts,1177,0.02,68,0.01,31
Helena,1114,0.02,153,0.02,104
St. Joseph,1008,0.02,55,0.01,52
Laredo,891,0.01,32,-,24
Greenwd-Greenvl,856,0.01,49,0.01,62
Zanesville,810,0.01,41,-,22
Meridian,793,0.01,40,0.01,50
San Angelo,761,0.01,41,-,38
Presque Isle,560,-,41,-,23
Victoria,399,-,33,0.01,62
North Platte,236,-,51,-,16
Alpena,217,-,63,-,10
Glendive,46,-,40,-,6
