DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
Flrnce-Mrtl Bch,16273,0.11,52,0.09,46
Youngstown,16101,0.11,68,0.09,58
Macon,16010,0.1,52,0.09,58
Rch-Masn Cy-Aus,15692,0.1,134,0.1,104
Columbus GA,15645,0.1,97,0.09,76
Rockford,15622,0.1,82,0.09,74
Medford-Klm Fls,15552,0.1,135,0.09,90
Bakersfield,15452,0.1,84,0.09,74
Wausau-Rhineldr,15213,0.1,109,0.09,80
Lafayette LA,15173,0.1,71,0.09,66
Lubbock,14992,0.1,96,0.09,90
Lafayette IN,14254,0.09,186,0.09,137
Missoula,13968,0.09,153,0.08,97
Binghamton,13824,0.09,69,0.09,71
Duluth-Superior,13531,0.09,117,0.08,94
Montgomery(Sel),13359,0.09,73,0.08,64
Erie,13284,0.09,61,0.08,65
Bangor,13191,0.09,100,0.07,72
Palm Springs,12470,0.08,65,0.07,64
Amarillo,12370,0.08,60,0.07,60
Idaho Falls-Poc,12126,0.08,137,0.07,101
Minot-Bsmrk-Dkn,11812,0.08,63,0.07,56
Corpus Christi,11784,0.08,63,0.06,52
Sioux City,10858,0.07,90,0.07,71
Harrisonburg,10442,0.07,128,0.06,89
Panama City,10349,0.07,70,0.06,59
Salisbury,10200,0.07,68,0.06,48
Billings,9811,0.06,125,0.06,101
Utica,9388,0.06,77,0.06,70
Joplin-Pittsbrg,9309,0.06,90,0.05,69
Beaumnt-Prt Art,9111,0.06,49,0.06,54
Butte-Bozeman,9000,0.06,198,0.06,129
Marquette,8981,0.06,155,0.05,88
Odessa-Midland,8860,0.06,58,0.05,53
Monro-El Dorado,8837,0.06,59,0.05,58
Wichta Fls&Lwtn,8774,0.06,67,0.06,72
Columbus-Tup-Wp,8581,0.06,74,0.05,66
Biloxi-Gulfport,8369,0.05,59,0.05,53
Terre Haute,7830,0.05,83,0.04,70
Rapid City,7646,0.05,102,0.04,69
Abilene-Swtwatr,7511,0.05,64,0.04,57
Albany GA,7490,0.05,34,0.04,35
Watertown,7392,0.05,71,0.04,58
Sherman-Ada,7297,0.05,70,0.04,58
Bend OR,7067,0.05,236,0.04,131
Elmira,6878,0.05,55,0.04,51
Clarksburg-Wstn,6408,0.04,44,0.04,49
Jonesboro,6399,0.04,64,0.04,65
Blfld-Beckly-OH,6392,0.04,46,0.03,42
Hatiesbrg-Laurl,6134,0.04,76,0.04,73
Dothan,6020,0.04,53,0.03,45
Bowling Green,5976,0.04,71,0.03,60
Wheeling-Steub.,5931,0.04,54,0.03,47
Quincy-Hbl-Keok,5866,0.04,86,0.03,73
Yuma-El Centro,5664,0.04,56,0.03,56
Mankato,5597,0.04,144,0.04,102
Gr.Jnctn-Mntros,5327,0.03,120,0.03,94
Jackson TN,5241,0.03,75,0.03,60
Eureka,5210,0.03,138,0.03,104
Alexandria LA,5120,0.03,48,0.03,43
Lima,5082,0.03,58,0.03,54
Twin Falls,4785,0.03,110,0.03,73
Chey-Sctts,4603,0.03,114,0.03,75
Fairbanks,4582,0.03,147,0.03,101
Lake Charles,4510,0.03,58,0.02,46
Ottumwa-Kirksvl,4094,0.03,77,0.02,59
Casper-Riverton,4080,0.03,112,0.02,81
Great Falls,3992,0.03,112,0.02,63
Parkersburg,3985,0.03,54,0.02,54
Juneau,3103,0.02,150,0.02,139
Laredo,3036,0.02,46,0.02,47
Helena,2880,0.02,168,0.01,83
St. Joseph,2770,0.02,65,0.02,66
San Angelo,2763,0.02,64,0.02,66
Meridian,2401,0.02,51,0.01,50
Zanesville,1979,0.01,42,0.01,40
Presque Isle,1670,0.01,53,-,40
Greenwd-Greenvl,1658,0.01,40,-,31
Victoria,1535,0.01,56,-,61
North Platte,905,-,89,-,50
Alpena,854,-,113,-,42
Glendive,160,-,76,-,30
