DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
Columbia-Jf Cty,10692,0.13,108,0.12,99
Lafayette LA,10448,0.12,88,0.09,69
Rockford,10159,0.12,96,0.09,78
Macon,9846,0.12,58,0.08,49
Wilmington,9759,0.12,81,0.09,64
Wausau-Rhineldr,9383,0.11,120,0.07,68
Charlottesville,9269,0.11,106,0.11,97
Medford-Klm Fls,9193,0.11,143,0.15,160
Palm Springs,8884,0.1,83,0.07,59
Minot-Bsmrk-Dkn,8861,0.1,86,0.08,66
Rch-Masn Cy-Aus,8857,0.1,135,0.1,104
Corpus Christi,8631,0.1,82,0.06,53
Lubbock,8613,0.1,99,0.11,107
Binghamton,8289,0.1,74,0.07,60
Columbus GA,8284,0.1,92,0.1,82
Amarillo,8253,0.1,72,0.06,53
Erie,8107,0.1,66,0.11,87
Missoula,7624,0.09,150,0.07,87
Odessa-Midland,7223,0.09,85,0.05,60
Duluth-Superior,7219,0.09,112,0.07,82
Montgomery(Sel),7098,0.08,70,0.05,41
Panama City,6986,0.08,85,0.06,58
Sioux City,6769,0.08,101,0.05,48
Lafayette IN,6579,0.08,153,0.12,186
Beaumnt-Prt Art,6563,0.08,63,0.05,44
Salisbury,6436,0.08,77,0.06,49
Wichta Fls&Lwtn,6259,0.07,85,0.05,60
Bangor,6183,0.07,83,0.05,51
Joplin-Pittsbrg,6051,0.07,104,0.04,57
Marquette,6004,0.07,185,0.08,130
Sherman-Ada,5836,0.07,101,0.03,50
Billings,5764,0.07,132,0.05,88
Biloxi-Gulfport,5623,0.07,72,0.03,38
Utica,5612,0.07,82,0.04,49
Idaho Falls-Poc,5527,0.07,111,0.05,65
Rapid City,5377,0.06,128,0.05,78
Harrisonburg,5377,0.06,118,0.05,82
Monro-El Dorado,5328,0.06,64,0.04,45
Abilene-Swtwatr,5174,0.06,79,0.05,65
Elmira,4974,0.06,71,0.04,52
Albany GA,4894,0.06,40,0.03,23
Columbus-Tup-Wp,4838,0.06,74,0.04,59
Butte-Bozeman,4778,0.06,187,0.05,105
Terre Haute,4706,0.06,89,0.04,73
Blfld-Beckly-OH,4675,0.06,60,0.03,44
Watertown,4460,0.05,76,0.05,70
Clarksburg-Wstn,4404,0.05,54,0.03,38
Jonesboro,4207,0.05,76,0.03,62
Bend OR,4144,0.05,247,0.06,183
Dothan,4138,0.05,65,0.03,39
Wheeling-Steub.,3956,0.05,64,0.03,38
Yuma-El Centro,3643,0.04,65,0.03,48
Lima,3598,0.04,74,0.05,86
Quincy-Hbl-Keok,3583,0.04,94,0.02,46
Hatiesbrg-Laurl,3522,0.04,79,0.02,50
Alexandria LA,3370,0.04,56,0.02,40
Jackson TN,3305,0.04,85,0.03,52
Lake Charles,3298,0.04,76,0.02,46
Bowling Green,3238,0.04,68,0.03,54
Gr.Jnctn-Mntros,3198,0.04,128,0.03,72
Parkersburg,2811,0.03,68,0.02,48
Casper-Riverton,2795,0.03,137,0.02,55
Mankato,2768,0.03,126,0.03,76
Eureka,2766,0.03,131,0.02,74
Great Falls,2752,0.03,138,0.02,73
Chey-Sctts,2694,0.03,118,0.02,51
Twin Falls,2582,0.03,106,0.03,77
Fairbanks,2372,0.03,135,0.02,62
Laredo,1936,0.02,52,0.01,35
Ottumwa-Kirksvl,1868,0.02,62,0.01,36
Helena,1694,0.02,175,0.02,97
Meridian,1692,0.02,65,0.02,62
St. Joseph,1660,0.02,69,0.01,40
San Angelo,1656,0.02,68,0.01,57
Juneau,1647,0.02,141,0.01,71
Zanesville,1298,0.02,49,0.01,45
Greenwd-Greenvl,1217,0.01,52,0.01,45
Victoria,1096,0.01,71,0.01,72
Presque Isle,949,0.01,53,-,24
Alpena,799,-,191,-,60
North Platte,544,-,94,-,31
Glendive,132,-,110,-,72
