DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
Topeka,36123,0.12,96,0.15,119
Wheeling-Steub.,35608,0.11,160,0.07,109
Gainesville,35528,0.11,96,0.09,73
Shreveport,34493,0.11,52,0.1,51
Medford-Klm Fls,34493,0.11,147,0.13,136
Missoula,32667,0.1,176,0.15,184
Bangor,31997,0.1,119,0.1,101
Minot-Bsmrk-Dkn,31911,0.1,85,0.15,117
Palm Springs,31876,0.1,81,0.13,118
Binghamton,31773,0.1,78,0.1,82
Panama City,31744,0.1,107,0.07,70
Wausau-Rhineldr,31623,0.1,110,0.1,90
Duluth-Superior,31522,0.1,134,0.11,129
Montgomery(Sel),30781,0.1,83,0.1,83
Tyler-Longview,30409,0.1,58,0.08,54
Macon,29610,0.09,47,0.06,39
Erie,29110,0.09,65,0.13,105
Billings,28065,0.09,175,0.11,192
Harrisonburg,26977,0.09,163,0.07,105
Sioux City,26933,0.09,109,0.11,112
Bakersfield,26728,0.09,71,0.09,76
Columbus GA,26620,0.08,81,0.07,57
Utica,25640,0.08,102,0.09,107
Lubbock,25092,0.08,79,0.11,108
Hrlg-Wsl-Brn-Ma,25050,0.08,41,0.05,33
Lafayette IN,24224,0.08,155,0.07,116
Lafayette LA,23645,0.08,54,0.07,50
Amarillo,23578,0.08,56,0.09,75
Corpus Christi,21362,0.07,55,0.09,81
Odessa-Midland,21288,0.07,69,0.07,74
Blfld-Beckly-OH,20849,0.07,74,0.05,67
Idaho Falls-Poc,20719,0.07,115,0.07,107
Marquette,20241,0.06,171,0.06,97
Elmira,19988,0.06,79,0.07,92
Clarksburg-Wstn,19871,0.06,67,0.06,74
Rapid City,19325,0.06,127,0.07,106
Monro-El Dorado,19171,0.06,63,0.05,56
Joplin-Pittsbrg,19124,0.06,90,0.07,103
Hatiesbrg-Laurl,17470,0.06,107,0.05,99
Albany GA,17439,0.06,38,0.04,37
Watertown,17056,0.05,79,0.04,51
Columbus-Tup-Wp,16946,0.05,72,0.04,58
Butte-Bozeman,16880,0.05,182,0.07,164
Quincy-Hbl-Keok,16741,0.05,121,0.05,102
Bend OR,16351,0.05,269,0.09,276
Wichta Fls&Lwtn,16285,0.05,61,0.06,72
Terre Haute,16036,0.05,82,0.05,74
Sherman-Ada,15210,0.05,72,0.05,72
Biloxi-Gulfport,15038,0.05,52,0.04,46
Beaumnt-Prt Art,14891,0.05,39,0.04,37
Dothan,13728,0.04,60,0.03,45
Abilene-Swtwatr,13320,0.04,56,0.04,53
Lima,11611,0.04,65,0.04,78
Gr.Jnctn-Mntros,11529,0.04,128,0.05,157
Alexandria LA,11305,0.04,53,0.04,67
Chey-Sctts,10921,0.03,133,0.05,144
Yuma-El Centro,10789,0.03,53,0.04,81
Bowling Green,10787,0.03,62,0.02,39
Jackson TN,10697,0.03,75,0.02,46
Casper-Riverton,10432,0.03,142,0.05,151
Eureka,10397,0.03,136,0.03,110
Twin Falls,10278,0.03,116,0.04,129
Jonesboro,10111,0.03,50,0.03,49
Parkersburg,10012,0.03,66,0.03,74
Fairbanks,9886,0.03,156,0.05,213
Great Falls,9175,0.03,127,0.04,137
Mankato,8897,0.03,112,0.03,87
Helena,8686,0.03,251,0.04,247
Lake Charles,8318,0.03,53,0.02,46
Ottumwa-Kirksvl,8163,0.03,76,0.03,91
Juneau,7730,0.02,185,0.04,216
Meridian,7183,0.02,77,0.02,61
Laredo,5721,0.02,43,0.02,52
St. Joseph,5073,0.02,58,0.01,41
San Angelo,4547,0.01,51,0.01,52
Zanesville,3947,0.01,41,0.01,43
Presque Isle,3934,0.01,62,0.01,56
Greenwd-Greenvl,3568,0.01,43,-,38
North Platte,3060,0.01,153,0.01,159
Victoria,2443,-,44,-,38
Alpena,1817,-,121,-,37
Glendive,674,-,176,-,248
