DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
Palm Springs,11851,0.09,69,0.07,63
Binghamton,11692,0.09,65,0.06,53
Wausau-Rhineldr,11657,0.09,94,0.07,65
Corpus Christi,11306,0.08,67,0.06,56
Duluth-Superior,10792,0.08,105,0.06,75
Montgomery(Sel),10789,0.08,66,0.06,45
Amarillo,10668,0.08,58,0.05,46
Erie,10666,0.08,55,0.06,44
Missoula,10569,0.08,130,0.06,78
Minot-Bsmrk-Dkn,10244,0.08,62,0.06,44
Bangor,9746,0.07,83,0.05,52
Idaho Falls-Poc,8931,0.07,113,0.06,79
Sioux City,8770,0.06,82,0.05,47
Beaumnt-Prt Art,8443,0.06,51,0.05,45
Odessa-Midland,8362,0.06,61,0.05,52
Panama City,8241,0.06,63,0.04,44
Salisbury,8064,0.06,60,0.05,39
Harrisonburg,7995,0.06,110,0.05,82
Joplin-Pittsbrg,7838,0.06,85,0.04,58
Wichta Fls&Lwtn,7677,0.06,66,0.04,51
Utica,7601,0.06,70,0.05,57
Monro-El Dorado,7594,0.06,57,0.04,49
Marquette,7568,0.06,147,0.05,79
Billings,7376,0.05,105,0.04,67
Butte-Bozeman,7163,0.05,176,0.05,109
Biloxi-Gulfport,7120,0.05,56,0.04,40
Columbus-Tup-Wp,6845,0.05,66,0.04,51
Sherman-Ada,6803,0.05,74,0.04,66
Abilene-Swtwatr,6741,0.05,64,0.04,57
Terre Haute,6717,0.05,79,0.04,63
Albany GA,6321,0.05,32,0.03,29
Rapid City,6137,0.05,91,0.04,63
Elmira,6099,0.04,54,0.04,50
Watertown,6016,0.04,64,0.04,50
Bend OR,5577,0.04,209,0.04,126
Jonesboro,5435,0.04,61,0.03,54
Yuma-El Centro,5314,0.04,60,0.03,53
Blfld-Beckly-OH,5300,0.04,42,0.03,34
Clarksburg-Wstn,5200,0.04,40,0.03,35
Wheeling-Steub.,5158,0.04,52,0.03,37
Dothan,5091,0.04,50,0.02,34
Hatiesbrg-Laurl,4764,0.04,66,0.03,55
Bowling Green,4740,0.03,63,0.03,50
Eureka,4639,0.03,139,0.03,93
Quincy-Hbl-Keok,4527,0.03,74,0.03,57
Jackson TN,4392,0.03,71,0.02,48
Alexandria LA,4378,0.03,46,0.02,38
Mankato,4210,0.03,121,0.03,74
Lake Charles,4202,0.03,61,0.02,41
Gr.Jnctn-Mntros,4089,0.03,103,0.02,62
Lima,4051,0.03,52,0.02,39
Fairbanks,3909,0.03,141,0.03,98
Twin Falls,3769,0.03,97,0.03,78
Great Falls,3513,0.03,110,0.02,53
Parkersburg,3501,0.03,53,0.02,42
Laredo,3477,0.03,59,0.02,62
Chey-Sctts,3401,0.03,94,0.02,60
Casper-Riverton,3145,0.02,96,0.02,48
Ottumwa-Kirksvl,3141,0.02,66,0.02,64
Juneau,2534,0.02,137,0.02,102
St. Joseph,2290,0.02,60,0.01,52
Helena,2197,0.02,143,0.01,64
San Angelo,2081,0.02,53,0.01,52
Meridian,2022,0.01,49,-,36
Zanesville,1624,0.01,38,-,30
Greenwd-Greenvl,1602,0.01,43,0.01,46
Victoria,1515,0.01,63,0.01,70
Presque Isle,1187,-,42,-,30
North Platte,789,-,86,-,53
Alpena,732,-,109,-,61
Glendive,142,-,74,-,31
