DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
Rch-Masn Cy-Aus,9955,0.13,166,0.14,141
Medford-Klm Fls,9747,0.12,165,0.14,151
Montgomery(Sel),9257,0.12,98,0.12,93
Tyler-Longview,9241,0.12,70,0.1,67
Minot-Bsmrk-Dkn,9212,0.12,97,0.18,140
Missoula,9190,0.12,196,0.11,136
Rockford,8887,0.11,91,0.12,98
Macon,8704,0.11,56,0.09,57
Binghamton,8704,0.11,85,0.14,118
Gainesville,8693,0.11,93,0.09,70
Duluth-Superior,8658,0.11,146,0.14,160
Erie,8417,0.11,75,0.1,80
Columbus GA,8105,0.1,98,0.09,78
Chico-Redding,7979,0.1,111,0.12,105
Hrlg-Wsl-Brn-Ma,7961,0.1,53,0.09,50
Lafayette LA,7846,0.1,71,0.12,88
Salisbury,7499,0.1,97,0.09,78
Bangor,7464,0.1,110,0.08,78
Sioux City,7362,0.09,119,0.09,94
Bakersfield,7313,0.09,77,0.11,94
Billings,7245,0.09,180,0.09,153
Corpus Christi,6659,0.09,69,0.07,67
Amarillo,6436,0.08,60,0.1,82
Lubbock,6429,0.08,79,0.07,72
Panama City,6334,0.08,84,0.06,57
Rapid City,5852,0.07,152,0.07,116
Joplin-Pittsbrg,5775,0.07,107,0.06,91
Idaho Falls-Poc,5750,0.07,126,0.08,121
Utica,5695,0.07,90,0.09,114
Blfld-Beckly-OH,5635,0.07,79,0.05,69
Odessa-Midland,5485,0.07,70,0.06,71
Elmira,5260,0.07,82,0.06,80
Sherman-Ada,5191,0.07,97,0.05,70
Albany GA,5180,0.07,45,0.05,44
Monro-El Dorado,5047,0.06,66,0.05,63
Marquette,4881,0.06,163,0.05,95
Harrisonburg,4795,0.06,114,0.06,92
Wichta Fls&Lwtn,4760,0.06,70,0.06,77
Terre Haute,4744,0.06,96,0.06,102
Beaumnt-Prt Art,4702,0.06,49,0.05,45
Lafayette IN,4698,0.06,119,0.07,109
Biloxi-Gulfport,4481,0.06,62,0.04,47
Wheeling-Steub.,4450,0.06,79,0.04,58
Clarksburg-Wstn,4433,0.06,59,0.05,64
Columbus-Tup-Wp,4287,0.05,72,0.06,76
Butte-Bozeman,4269,0.05,181,0.06,140
Bend OR,3997,0.05,259,0.05,166
Abilene-Swtwatr,3895,0.05,64,0.05,63
Quincy-Hbl-Keok,3727,0.05,106,0.04,84
Watertown,3652,0.05,67,0.04,51
Hatiesbrg-Laurl,3497,0.04,84,0.04,86
Alexandria LA,3497,0.04,64,0.04,59
Dothan,3385,0.04,57,0.04,58
Bowling Green,3341,0.04,77,0.03,56
Eureka,3274,0.04,168,0.04,134
Jonesboro,3230,0.04,63,0.05,87
Chey-Sctts,3190,0.04,153,0.05,161
Gr.Jnctn-Mntros,3117,0.04,136,0.06,160
Jackson TN,3009,0.04,84,0.02,50
Parkersburg,2982,0.04,77,0.04,87
Yuma-El Centro,2907,0.04,56,0.04,77
Lima,2810,0.04,62,0.03,60
Great Falls,2788,0.04,152,0.04,122
Ottumwa-Kirksvl,2739,0.04,100,0.04,112
Juneau,2739,0.04,258,0.05,307
Mankato,2664,0.03,132,0.03,78
Lake Charles,2637,0.03,65,0.02,44
Casper-Riverton,2620,0.03,140,0.04,119
Twin Falls,2587,0.03,114,0.03,98
Helena,2518,0.03,286,0.02,140
Fairbanks,2357,0.03,146,0.04,136
Laredo,2018,0.03,60,0.03,74
St. Joseph,1419,0.02,64,0.01,53
San Angelo,1355,0.02,60,0.01,46
Meridian,1326,0.02,55,-,36
Presque Isle,1068,0.01,65,0.02,101
Greenwd-Greenvl,1046,0.01,49,0.01,59
Zanesville,1021,0.01,42,-,36
Victoria,829,0.01,58,-,54
North Platte,679,-,129,-,92
Alpena,577,-,147,-,75
Glendive,376,-,379,-,134
