DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
Wilmington,11972,0.11,77,0.1,68
Youngstown,11932,0.11,69,0.07,48
Flrnce-Mrtl Bch,11318,0.1,51,0.09,49
Rockford,11311,0.1,83,0.07,56
Lubbock,11234,0.1,100,0.09,90
Macon,10720,0.1,49,0.08,52
Lafayette LA,10621,0.1,69,0.08,57
Wausau-Rhineldr,10603,0.1,105,0.07,66
Columbus GA,10570,0.1,92,0.08,70
Missoula,10478,0.1,160,0.08,104
Binghamton,10468,0.1,73,0.08,68
Rch-Masn Cy-Aus,10427,0.1,124,0.09,94
Bangor,10270,0.09,108,0.08,77
Duluth-Superior,9773,0.09,118,0.07,78
Lafayette IN,9773,0.09,177,0.08,129
Erie,9514,0.09,60,0.06,46
Corpus Christi,9509,0.09,70,0.06,53
Palm Springs,9465,0.09,68,0.07,67
Amarillo,9364,0.09,63,0.07,62
Montgomery(Sel),9150,0.08,70,0.07,56
Minot-Bsmrk-Dkn,8648,0.08,65,0.07,52
Idaho Falls-Poc,8552,0.08,134,0.06,89
Salisbury,7844,0.07,73,0.05,42
Sioux City,7722,0.07,89,0.04,45
Joplin-Pittsbrg,7493,0.07,100,0.05,77
Harrisonburg,7473,0.07,127,0.06,89
Odessa-Midland,7098,0.06,65,0.05,57
Billings,7093,0.06,125,0.06,98
Marquette,6839,0.06,164,0.04,68
Panama City,6790,0.06,64,0.05,47
Beaumnt-Prt Art,6752,0.06,50,0.05,46
Monro-El Dorado,6594,0.06,61,0.04,52
Biloxi-Gulfport,6538,0.06,64,0.05,52
Wichta Fls&Lwtn,6528,0.06,70,0.06,71
Utica,6493,0.06,74,0.05,61
Rapid City,6442,0.06,119,0.04,71
Butte-Bozeman,6297,0.06,191,0.05,111
Terre Haute,5887,0.05,86,0.04,65
Sherman-Ada,5859,0.05,78,0.04,61
Abilene-Swtwatr,5765,0.05,69,0.05,70
Watertown,5660,0.05,75,0.04,56
Columbus-Tup-Wp,5467,0.05,66,0.04,49
Blfld-Beckly-OH,5266,0.05,52,0.04,52
Elmira,5075,0.05,56,0.05,61
Albany GA,5044,0.05,31,0.03,28
Clarksburg-Wstn,4927,0.05,47,0.03,43
Eureka,4922,0.05,182,0.05,163
Jonesboro,4823,0.04,67,0.03,58
Wheeling-Steub.,4698,0.04,60,0.04,52
Quincy-Hbl-Keok,4663,0.04,95,0.03,66
Bowling Green,4635,0.04,76,0.06,102
Fairbanks,4561,0.04,204,0.04,172
Hatiesbrg-Laurl,4551,0.04,79,0.03,70
Bend OR,4319,0.04,200,0.03,100
Yuma-El Centro,4189,0.04,58,0.03,53
Dothan,4171,0.04,51,0.02,35
Alexandria LA,3858,0.04,51,0.02,41
Mankato,3782,0.03,134,0.05,148
Gr.Jnctn-Mntros,3566,0.03,111,0.02,69
Twin Falls,3550,0.03,113,0.02,53
Jackson TN,3472,0.03,69,0.02,48
Casper-Riverton,3245,0.03,124,0.03,88
Lake Charles,3197,0.03,56,0.03,55
Lima,3189,0.03,51,0.02,37
Chey-Sctts,3166,0.03,108,0.03,77
Great Falls,3103,0.03,121,0.02,62
Ottumwa-Kirksvl,3097,0.03,81,0.02,58
Parkersburg,2988,0.03,55,0.03,65
Juneau,2828,0.03,190,0.03,179
St. Joseph,2349,0.02,76,0.02,62
Laredo,2301,0.02,48,0.02,45
Helena,2237,0.02,180,0.01,78
San Angelo,2039,0.02,65,0.02,63
Meridian,1624,0.01,48,0.01,43
Zanesville,1377,0.01,41,-,34
Greenwd-Greenvl,1326,0.01,45,-,33
Victoria,1293,0.01,66,-,56
Presque Isle,1163,0.01,51,-,33
North Platte,657,-,88,-,26
Alpena,626,-,114,-,41
Glendive,135,-,86,-,19
