DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
Hrlg-Wsl-Brn-Ma,9019,0.09,49,0.07,43
Lafayette IN,8979,0.09,187,0.23,355
Shreveport,8956,0.09,44,0.1,52
Evansville,8697,0.09,53,0.1,63
Rockford,8676,0.09,73,0.09,73
Youngstown,8513,0.09,56,0.08,54
Rch-Masn Cy-Aus,8474,0.09,116,0.09,86
Bangor,8324,0.09,101,0.08,84
Tyler-Longview,8236,0.09,51,0.09,64
Lubbock,8202,0.09,84,0.08,82
Flrnce-Mrtl Bch,8190,0.09,42,0.08,43
Macon,7959,0.08,42,0.07,45
Wausau-Rhineldr,7859,0.08,89,0.07,65
Erie,7793,0.08,57,0.1,74
Columbus GA,7772,0.08,77,0.07,55
Butte-Bozeman,7747,0.08,272,0.08,198
Idaho Falls-Poc,7736,0.08,140,0.08,118
Binghamton,7736,0.08,61,0.08,64
Lafayette LA,7407,0.08,55,0.07,55
Palm Springs,7395,0.08,61,0.07,65
Minot-Bsmrk-Dkn,6955,0.07,60,0.07,53
Marquette,6814,0.07,188,0.07,121
Corpus Christi,6362,0.07,53,0.05,48
Amarillo,6360,0.07,49,0.06,53
Montgomery(Sel),6317,0.07,55,0.06,49
Harrisonburg,6058,0.06,118,0.07,106
Salisbury,5710,0.06,61,0.05,47
Odessa-Midland,5662,0.06,59,0.06,66
Bend OR,5597,0.06,299,0.06,184
Billings,5531,0.06,112,0.05,81
Utica,5356,0.06,70,0.05,56
Panama City,5329,0.06,58,0.05,45
Joplin-Pittsbrg,5238,0.06,80,0.05,72
Sioux City,4920,0.05,65,0.04,43
Biloxi-Gulfport,4786,0.05,54,0.05,51
Watertown,4599,0.05,69,0.04,60
Rapid City,4572,0.05,96,0.04,72
Wichta Fls&Lwtn,4568,0.05,55,0.04,56
Monro-El Dorado,4409,0.05,47,0.04,47
Columbus-Tup-Wp,4259,0.04,59,0.04,54
Terre Haute,4218,0.04,70,0.04,65
Beaumnt-Prt Art,4188,0.04,36,0.04,40
Abilene-Swtwatr,4097,0.04,56,0.04,60
Eureka,3941,0.04,167,0.04,142
Clarksburg-Wstn,3723,0.04,40,0.03,37
Sherman-Ada,3657,0.04,56,0.03,48
Elmira,3636,0.04,46,0.04,50
Bowling Green,3496,0.04,65,0.04,70
Mankato,3468,0.04,142,0.04,110
Wheeling-Steub.,3398,0.04,49,0.03,51
Jonesboro,3248,0.03,52,0.03,54
Blfld-Beckly-OH,3218,0.03,36,0.02,31
Fairbanks,3207,0.03,164,0.03,114
Hatiesbrg-Laurl,3200,0.03,63,0.04,74
Gr.Jnctn-Mntros,3153,0.03,113,0.03,84
Albany GA,3130,0.03,22,0.03,27
Yuma-El Centro,3057,0.03,49,0.03,49
Great Falls,2680,0.03,120,0.02,77
Quincy-Hbl-Keok,2607,0.03,60,0.03,59
Chey-Sctts,2562,0.03,100,0.03,88
Dothan,2514,0.03,35,0.03,36
Twin Falls,2403,0.03,87,0.02,64
Lima,2401,0.03,44,0.02,33
Lake Charles,2380,0.03,48,0.02,40
Casper-Riverton,2362,0.02,103,0.02,67
Alexandria LA,2335,0.02,35,0.02,33
Juneau,2310,0.02,177,0.03,151
Jackson TN,2246,0.02,51,0.02,35
Ottumwa-Kirksvl,2237,0.02,66,0.02,57
Parkersburg,1887,0.02,40,0.01,32
Helena,1772,0.02,164,0.02,95
St. Joseph,1674,0.02,62,0.01,60
Laredo,1588,0.02,38,0.01,36
San Angelo,1365,0.01,49,0.01,53
Meridian,999,0.01,33,-,27
Zanesville,995,0.01,33,0.01,40
Presque Isle,888,-,44,-,46
Victoria,806,-,47,-,52
Greenwd-Greenvl,795,-,30,-,30
Alpena,500,-,103,-,41
North Platte,432,-,65,-,38
Glendive,111,-,80,-,69
