DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
Ottumwa-Kirksvl,7363,0.02,72,0.02,68
San Angelo,6754,0.02,80,0.02,85
Zanesville,6688,0.02,74,0.02,84
Greenwd-Greenvl,6468,0.02,82,0.02,91
Juneau,6397,0.02,159,0.02,127
Helena,6381,0.02,192,0.02,117
St. Joseph,6278,0.02,75,0.02,73
Victoria,5060,0.02,97,0.02,107
Presque Isle,3768,0.01,62,0.01,60
North Platte,2650,-,137,-,90
Alpena,2063,-,144,-,90
Glendive,572,-,153,-,97
