INTERESTS ,AFFINITY INDEX 
Business & Industrial,10.7x
Sports,7.2x
News,6.4x
Computers & Technology,6.1x
Science,6.0x
Food & Drink,5.5x
Home & Garden,5.3x
Shopping,4.9x
Education and Employment,4.8x
Arts & Entertainment,4.1x
Travel,3.7x
Automotive & Vehicle,3.2x
Beauty & Fitness,2.9x
Leisure & Hobbies,2.3x
Law & Government,2.2x
Video Games,1.0x
