INTERESTS ,AFFINITY INDEX 
News,9.5x
Sports,5.9x
Business & Industrial,5.1x
Arts & Entertainment,4.8x
Food & Drink,4.5x
Science,4.3x
Home & Garden,3.9x
Education and Employment,3.0x
Travel,2.9x
Computers & Technology,2.8x
Shopping,2.7x
Leisure & Hobbies,2.6x
Beauty & Fitness,2.5x
Law & Government,2.4x
Automotive & Vehicle,1.9x
Video Games,0.7x
