INTERESTS ,AFFINITY INDEX 
Computers & Technology,11.5x
Science,8.5x
Business & Industrial,6.6x
Arts & Entertainment,5.4x
Shopping,4.8x
News,4.7x
Leisure & Hobbies,4.7x
Sports,4.6x
Food & Drink,3.9x
Video Games,3.7x
Travel,3.5x
Education and Employment,3.5x
Beauty & Fitness,3.4x
Automotive & Vehicle,2.9x
Home & Garden,2.8x
Law & Government,2.3x
