INTERESTS ,AFFINITY INDEX 
Business & Industrial,11.1x
News,6.4x
Home & Garden,4.5x
Education and Employment,4.4x
Sports,4.1x
Food & Drink,4.1x
Science,3.8x
Computers & Technology,3.7x
Travel,3.4x
Shopping,3.3x
Arts & Entertainment,2.7x
Automotive & Vehicle,2.4x
Law & Government,2.2x
Leisure & Hobbies,2.1x
Beauty & Fitness,1.9x
Video Games,0.7x
