INTERESTS ,AFFINITY INDEX 
Science,8.8x
Computers & Technology,8.8x
Arts & Entertainment,6.1x
Leisure & Hobbies,5.6x
Business & Industrial,5.4x
News,4.7x
Sports,4.5x
Video Games,4.5x
Food & Drink,3.5x
Shopping,3.5x
Beauty & Fitness,3.4x
Education and Employment,3.1x
Travel,3.0x
Home & Garden,2.4x
Automotive & Vehicle,2.3x
Law & Government,2.2x
