INTERESTS ,AFFINITY INDEX 
Arts & Entertainment,8.5x
Computers & Technology,7.7x
Science,7.5x
News,6.0x
Sports,5.9x
Business & Industrial,5.6x
Leisure & Hobbies,5.6x
Video Games,4.5x
Beauty & Fitness,4.3x
Food & Drink,3.9x
Education and Employment,3.5x
Travel,3.5x
Shopping,2.8x
Law & Government,2.6x
Home & Garden,2.1x
Automotive & Vehicle,1.6x
