INTERESTS ,AFFINITY INDEX 
Sports,16.9x
News,6.4x
Arts & Entertainment,4.7x
Food & Drink,4.0x
Business & Industrial,3.8x
Home & Garden,3.7x
Computers & Technology,2.9x
Science,2.8x
Shopping,2.8x
Education and Employment,2.7x
Travel,2.6x
Automotive & Vehicle,2.3x
Beauty & Fitness,2.0x
Leisure & Hobbies,1.7x
Law & Government,1.7x
Video Games,0.8x
