INTERESTS ,AFFINITY INDEX 
News,11.8x
Arts & Entertainment,5.5x
Sports,5.4x
Science,5.2x
Business & Industrial,4.9x
Food & Drink,4.7x
Home & Garden,3.8x
Travel,3.3x
Education and Employment,3.3x
Shopping,3.3x
Beauty & Fitness,3.2x
Computers & Technology,3.2x
Leisure & Hobbies,2.8x
Law & Government,2.3x
Automotive & Vehicle,2.0x
Video Games,1.3x
