INTERESTS ,AFFINITY INDEX 
Food & Drink,8.4x
Business & Industrial,7.5x
Home & Garden,7.3x
Sports,6.1x
News,6.0x
Arts & Entertainment,5.8x
Travel,5.4x
Education and Employment,4.8x
Science,4.7x
Beauty & Fitness,4.5x
Computers & Technology,4.3x
Shopping,4.3x
Leisure & Hobbies,3.1x
Law & Government,3.0x
Automotive & Vehicle,2.9x
Video Games,0.9x
