INTERESTS ,AFFINITY INDEX 
Computers & Technology,9.3x
Science,7.2x
Video Games,6.9x
Business & Industrial,6.0x
Arts & Entertainment,5.7x
Leisure & Hobbies,4.5x
Shopping,4.5x
Food & Drink,4.3x
News,4.1x
Sports,3.9x
Education and Employment,3.6x
Beauty & Fitness,3.0x
Travel,2.9x
Home & Garden,2.8x
Automotive & Vehicle,2.5x
Law & Government,1.9x
