INTERESTS ,AFFINITY INDEX 
Science,8.0x
Computers & Technology,8.0x
Arts & Entertainment,7.1x
Leisure & Hobbies,6.2x
Business & Industrial,5.5x
Sports,4.9x
News,4.7x
Video Games,4.6x
Food & Drink,4.3x
Beauty & Fitness,3.7x
Education and Employment,3.5x
Travel,3.3x
Shopping,3.2x
Law & Government,2.6x
Home & Garden,2.3x
Automotive & Vehicle,1.9x
