INTERESTS ,AFFINITY INDEX 
Automotive & Vehicle,9.9x
Computers & Technology,9.3x
Business & Industrial,6.3x
Science,6.3x
Sports,5.3x
Arts & Entertainment,4.5x
News,4.3x
Shopping,4.2x
Food & Drink,3.6x
Home & Garden,3.2x
Leisure & Hobbies,3.1x
Travel,3.0x
Education and Employment,3.0x
Video Games,2.5x
Beauty & Fitness,2.3x
Law & Government,1.9x
