INTERESTS ,AFFINITY INDEX 
Beauty & Fitness,9.8x
Food & Drink,7.9x
News,7.0x
Arts & Entertainment,7.0x
Sports,6.9x
Business & Industrial,6.6x
Shopping,5.4x
Home & Garden,4.9x
Travel,4.8x
Education and Employment,4.7x
Computers & Technology,4.6x
Science,4.5x
Leisure & Hobbies,3.2x
Law & Government,2.6x
Automotive & Vehicle,2.0x
Video Games,0.9x
