INTERESTS ,AFFINITY INDEX 
Arts & Entertainment,6.7x
Computers & Technology,6.2x
Business & Industrial,5.9x
Science,5.6x
News,5.0x
Leisure & Hobbies,4.8x
Sports,4.7x
Beauty & Fitness,4.4x
Food & Drink,4.3x
Travel,3.6x
Education and Employment,3.4x
Shopping,3.2x
Law & Government,2.8x
Home & Garden,2.7x
Video Games,2.6x
Automotive & Vehicle,2.2x
