INTERESTS ,AFFINITY INDEX 
Computers & Technology,16.9x
Science,8.9x
Business & Industrial,7.2x
Sports,6.0x
Arts & Entertainment,6.0x
News,5.7x
Shopping,5.2x
Food & Drink,4.5x
Education and Employment,3.9x
Leisure & Hobbies,3.8x
Video Games,3.8x
Travel,3.2x
Beauty & Fitness,3.1x
Home & Garden,3.0x
Automotive & Vehicle,2.8x
Law & Government,2.1x
