INTERESTS ,AFFINITY INDEX 
Arts & Entertainment,6.8x
Beauty & Fitness,6.1x
Leisure & Hobbies,5.7x
Business & Industrial,5.5x
Computers & Technology,5.4x
Science,5.3x
News,4.8x
Food & Drink,4.6x
Sports,4.1x
Travel,3.8x
Education and Employment,3.6x
Shopping,3.3x
Law & Government,3.0x
Home & Garden,2.8x
Video Games,2.4x
Automotive & Vehicle,1.9x
