INTERESTS ,AFFINITY INDEX 
Sports,22.2x
News,6.1x
Arts & Entertainment,5.9x
Food & Drink,5.0x
Business & Industrial,4.4x
Science,4.1x
Computers & Technology,4.0x
Home & Garden,3.7x
Shopping,3.7x
Education and Employment,3.5x
Travel,2.9x
Beauty & Fitness,2.8x
Leisure & Hobbies,2.5x
Automotive & Vehicle,2.4x
Law & Government,2.0x
Video Games,1.4x
