INTERESTS ,AFFINITY INDEX 
Arts & Entertainment,5.9x
News,4.5x
Food & Drink,4.4x
Sports,4.4x
Business & Industrial,4.1x
Shopping,4.0x
Home & Garden,4.0x
Beauty & Fitness,3.9x
Education and Employment,3.2x
Travel,2.8x
Science,2.6x
Leisure & Hobbies,2.3x
Computers & Technology,2.1x
Law & Government,1.9x
Automotive & Vehicle,1.5x
Video Games,0.8x
