INTERESTS ,AFFINITY INDEX 
Computers & Technology,9.1x
Business & Industrial,5.8x
Shopping,5.6x
Science,5.1x
Arts & Entertainment,5.0x
Sports,4.2x
Leisure & Hobbies,4.2x
Food & Drink,3.7x
News,3.7x
Video Games,3.5x
Automotive & Vehicle,3.2x
Travel,3.1x
Beauty & Fitness,2.9x
Education and Employment,2.9x
Law & Government,2.4x
Home & Garden,2.4x
