INTERESTS ,AFFINITY INDEX 
News,5.7x
Food & Drink,5.6x
Arts & Entertainment,5.5x
Sports,4.8x
Shopping,4.2x
Home & Garden,4.2x
Education and Employment,3.9x
Business & Industrial,3.8x
Beauty & Fitness,3.8x
Travel,3.6x
Leisure & Hobbies,3.1x
Science,3.0x
Computers & Technology,2.3x
Law & Government,2.1x
Automotive & Vehicle,1.9x
Video Games,1.0x
