INTERESTS ,AFFINITY INDEX 
Video Games,10.6x
Computers & Technology,9.6x
Science,6.7x
Arts & Entertainment,6.2x
Shopping,4.7x
Leisure & Hobbies,4.5x
Sports,4.4x
Business & Industrial,4.3x
News,3.7x
Education and Employment,3.3x
Food & Drink,3.2x
Beauty & Fitness,2.6x
Travel,2.3x
Automotive & Vehicle,2.1x
Law & Government,1.9x
Home & Garden,1.6x
