INTERESTS ,AFFINITY INDEX 
Food & Drink,10.7x
Sports,7.2x
News,7.0x
Business & Industrial,6.9x
Arts & Entertainment,6.5x
Travel,5.9x
Beauty & Fitness,5.3x
Shopping,5.0x
Home & Garden,4.8x
Computers & Technology,4.8x
Science,4.6x
Education and Employment,4.6x
Leisure & Hobbies,3.4x
Law & Government,2.9x
Automotive & Vehicle,2.2x
Video Games,1.2x
