INTERESTS ,AFFINITY INDEX 
Sports,9.5x
Computers & Technology,6.0x
Arts & Entertainment,6.0x
Business & Industrial,5.5x
News,4.7x
Science,4.3x
Food & Drink,3.8x
Leisure & Hobbies,3.6x
Shopping,3.3x
Travel,3.2x
Education and Employment,3.1x
Beauty & Fitness,2.9x
Home & Garden,2.7x
Law & Government,2.5x
Automotive & Vehicle,2.3x
Video Games,2.2x
