INTERESTS ,AFFINITY INDEX 
Video Games,10.6x
Computers & Technology,9.5x
Science,7.5x
Arts & Entertainment,6.7x
Sports,5.7x
Shopping,4.5x
News,4.3x
Business & Industrial,4.3x
Leisure & Hobbies,3.7x
Food & Drink,3.3x
Education and Employment,3.1x
Beauty & Fitness,2.4x
Automotive & Vehicle,2.1x
Travel,2.0x
Home & Garden,1.9x
Law & Government,1.6x
